symbol,stage,error
我踏马来了USDT,markPriceKlines:missing,data/futures/um/monthly/markPriceKlines/我踏马来了USDT/1h/我踏马来了USDT-1h-2026-08.zip :: 404
牛来USDT,markPriceKlines:missing,data/futures/um/monthly/markPriceKlines/牛来USDT/1h/牛来USDT-1h-2026-08.zip :: 404
龙虾USDT,markPriceKlines:missing,data/futures/um/monthly/markPriceKlines/龙虾USDT/1h/龙虾USDT-1h-2026-03.zip :: 404
龙虾USDT,markPriceKlines:missing,data/futures/um/monthly/markPriceKlines/龙虾USDT/1h/龙虾USDT-1h-2026-04.zip :: 404
我踏马来了USDT,markPriceKlines:missing,data/futures/um/monthly/markPriceKlines/我踏马来了USDT/1h/我踏马来了USDT-1h-2026-03.zip :: 404
龙虾USDT,markPriceKlines:missing,data/futures/um/monthly/markPriceKlines/龙虾USDT/1h/龙虾USDT-1h-2026-05.zip :: 404
龙虾USDT,markPriceKlines:missing,data/futures/um/monthly/markPriceKlines/龙虾USDT/1h/龙虾USDT-1h-2026-06.zip :: 404
龙虾USDT,markPriceKlines:missing,data/futures/um/monthly/markPriceKlines/龙虾USDT/1h/龙虾USDT-1h-2026-08.zip :: 404
我踏马来了USDT,markPriceKlines:missing,data/futures/um/monthly/markPriceKlines/我踏马来了USDT/1h/我踏马来了USDT-1h-2026-06.zip :: 404
我踏马来了USDT,markPriceKlines:missing,data/futures/um/monthly/markPriceKlines/我踏马来了USDT/1h/我踏马来了USDT-1h-2026-05.zip :: 404
龙虾USDT,markPriceKlines:missing,data/futures/um/monthly/markPriceKlines/龙虾USDT/1h/龙虾USDT-1h-2026-07.zip :: 404
